timestamp,username,action,resource,source_ip,status,protocol,severity
2024-12-27 09:00:00,alice_admin,LOGIN,/admin/dashboard,192.168.1.100,SUCCESS,HTTPS,INFO
2024-12-27 09:05:15,bob_dev,FILE_ACCESS,/code/app.py,192.168.1.101,SUCCESS,SMB,INFO
2024-12-27 09:10:30,charlie_hr,EMAIL_SEND,smtp.company.com,192.168.1.102,SUCCESS,SMTP,INFO
2024-12-27 09:15:45,alice_admin,DATABASE_QUERY,mysql://hrdb,192.168.1.100,SUCCESS,MYSQL,INFO
2024-12-27 09:20:00,bob_dev,FILE_ACCESS,/code/config.json,192.168.1.101,SUCCESS,SMB,INFO
2024-12-27 09:25:10,backup_service,BACKUP_START,/backup/daily,192.168.1.200,SUCCESS,RSYNC,INFO
2024-12-27 09:30:25,charlie_hr,FILE_ACCESS,/hr/employees.xlsx,192.168.1.102,SUCCESS,HTTP,INFO
2024-12-27 09:35:40,monitoring,HEALTH_CHECK,/system/status,127.0.0.1,SUCCESS,HTTP,INFO
2024-12-27 09:40:55,alice_admin,CONFIG_CHANGE,/etc/firewall.conf,192.168.1.100,SUCCESS,SSH,INFO
2024-12-27 09:45:00,bob_dev,VPN_CONNECT,vpn.company.com,203.0.113.50,SUCCESS,OPENVPN,INFO
2024-12-27 09:50:15,scanner_external,PORT_SCAN,192.168.1.0/24,198.51.100.10,BLOCKED,TCP,WARNING
2024-12-27 09:55:30,unknown,PORT_SCAN,192.168.1.0/24,198.51.100.10,BLOCKED,TCP,WARNING
2024-12-27 10:00:00,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:00:15,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:00:30,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:00:45,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:01:00,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:01:15,admin,LOGIN,/admin/panel,198.51.100.10,SUCCESS,HTTPS,CRITICAL
2024-12-27 10:02:00,admin,PRIVILEGE_ESCALATION,/system/root,198.51.100.10,SUCCESS,SSH,CRITICAL
2024-12-27 10:03:15,admin,FILE_ACCESS,/data/sensitive/customer_database.sql,198.51.100.10,SUCCESS,FTP,CRITICAL
2024-12-27 10:03:45,admin,FILE_ACCESS,/data/sensitive/financial_records.xlsx,198.51.100.10,SUCCESS,FTP,CRITICAL
2024-12-27 10:04:30,admin,FILE_DOWNLOAD,/data/sensitive/customer_database.sql,198.51.100.10,SUCCESS,FTP,CRITICAL
2024-12-27 10:05:00,admin,FILE_DOWNLOAD,/data/sensitive/financial_records.xlsx,198.51.100.10,SUCCESS,FTP,CRITICAL
2024-12-27 10:06:15,admin,FILE_DELETE,/logs/access.log,198.51.100.10,SUCCESS,SSH,CRITICAL
2024-12-27 10:06:30,admin,FILE_DELETE,/logs/auth.log,198.51.100.10,SUCCESS,SSH,CRITICAL
2024-12-27 10:07:00,admin,CONFIG_CHANGE,/etc/ssh/sshd_config,198.51.100.10,SUCCESS,SSH,CRITICAL
2024-12-27 10:07:30,admin,USER_CREATE,/admin/users/backdoor_user,198.51.100.10,SUCCESS,HTTPS,CRITICAL
2024-12-27 10:08:00,admin,LOGOUT,/admin/panel,198.51.100.10,SUCCESS,HTTPS,WARNING
2024-12-27 10:10:00,alice_admin,LOGIN,/admin/dashboard,192.168.1.100,SUCCESS,HTTPS,INFO
2024-12-27 10:15:20,bob_dev,FILE_ACCESS,/code/app.py,192.168.1.101,SUCCESS,SMB,INFO
2024-12-27 10:20:35,charlie_hr,EMAIL_SEND,smtp.company.com,192.168.1.102,SUCCESS,SMTP,INFO
2024-12-27 10:25:50,monitoring,HEALTH_CHECK,/system/status,127.0.0.1,SUCCESS,HTTP,INFO
2024-12-27 10:30:00,backup_service,BACKUP_COMPLETE,/backup/daily,192.168.1.200,SUCCESS,RSYNC,INFO
2024-12-27 10:35:15,alice_admin,PASSWORD_CHANGE,/account/security,192.168.1.100,SUCCESS,HTTPS,INFO
2024-12-27 10:40:30,malware_scanner,THREAT_DETECTED,/tmp/suspicious.exe,192.168.1.105,BLOCKED,AV,CRITICAL
2024-12-27 10:45:45,bob_dev,FILE_UPLOAD,/upload/documents,192.168.1.101,SUCCESS,HTTPS,INFO
2024-12-27 10:50:00,unknown,SQL_INJECTION_ATTEMPT,/search?q=,203.0.113.25,BLOCKED,HTTPS,CRITICAL
2024-12-27 10:55:15,unknown,SQL_INJECTION_ATTEMPT,/login?user=,203.0.113.25,BLOCKED,HTTPS,CRITICAL
2024-12-27 11:00:00,charlie_hr,FILE_ACCESS,/hr/payroll.pdf,192.168.1.102,SUCCESS,HTTP,INFO
2024-12-27 11:05:20,alice_admin,DATABASE_QUERY,mysql://hrdb,192.168.1.100,SUCCESS,MYSQL,INFO
2024-12-27 11:10:35,system,SERVICE_RESTART,apache2,localhost,SUCCESS,SYSTEMD,WARNING
2024-12-27 11:15:50,monitoring,ALERT_TRIGGERED,CPU_USAGE_HIGH,127.0.0.1,WARNING,SNMP,WARNING
2024-12-27 11:20:00,bob_dev,SCREEN_LOCK,workstation-01,192.168.1.101,SUCCESS,LOCAL,INFO
2024-12-27 11:25:15,api_user,API_CALL,/api/v1/users,10.0.0.50,SUCCESS,HTTPS,INFO
2024-12-27 11:30:30,api_user,API_CALL,/api/v1/data,10.0.0.50,SUCCESS,HTTPS,INFO
2024-12-27 11:35:45,api_user,RATE_LIMIT_EXCEEDED,/api/v1/data,10.0.0.75,BLOCKED,HTTPS,WARNING
2024-12-27 11:40:00,guest_user,LOGIN,/guest/portal,192.168.1.150,SUCCESS,HTTPS,INFO
2024-12-27 11:45:15,guest_user,FILE_ACCESS,/public/announcement.pdf,192.168.1.150,SUCCESS,HTTP,INFO
2024-12-27 11:50:30,guest_user,LOGOUT,/guest/portal,192.168.1.150,SUCCESS,HTTPS,INFO
2024-12-27 11:55:45,alice_admin,CERTIFICATE_RENEWAL,ssl.company.com,192.168.1.100,SUCCESS,HTTPS,INFO
2024-12-27 12:00:00,backup_service,BACKUP_VERIFY,/backup/daily,192.168.1.200,SUCCESS,RSYNC,INFO
2024-12-27 12:05:15,charlie_hr,EMAIL_SEND,smtp.company.com,192.168.1.102,SUCCESS,SMTP,INFO
2024-12-27 12:10:30,bob_dev,FILE_ACCESS,/code/database.py,192.168.1.101,SUCCESS,SMB,INFO
2024-12-27 12:15:45,monitoring,HEALTH_CHECK,/system/status,127.0.0.1,SUCCESS,HTTP,INFO
2024-12-27 12:20:00,alice_admin,USER_CREATE,/admin/users/new_employee,192.168.1.100,SUCCESS,HTTPS,INFO
2024-12-27 12:25:15,system,DISK_ALERT,/dev/sda1,localhost,ERROR,SNMP,ERROR
2024-12-27 12:30:30,alice_admin,FIREWALL_RULE_ADD,/security/firewall,192.168.1.100,SUCCESS,SSH,WARNING
2024-12-27 12:35:45,bob_dev,VPN_DISCONNECT,vpn.company.com,203.0.113.50,SUCCESS,OPENVPN,INFO
2024-12-27 12:40:00,charlie_hr,LOGOUT,/user/dashboard,192.168.1.102,SUCCESS,HTTPS,INFO
2024-12-27 12:45:15,backdoor_user,LOGIN,/admin/panel,198.51.100.10,SUCCESS,HTTPS,CRITICAL
2024-12-27 12:50:30,backdoor_user,FILE_ACCESS,/data/sensitive/customer_database.sql,198.51.100.10,SUCCESS,FTP,CRITICAL
2024-12-27 12:55:45,backdoor_user,LOGOUT,/admin/panel,198.51.100.10,SUCCESS,HTTPS,WARNING
2024-12-27 13:00:00,alice_admin,LOGIN,/admin/dashboard,192.168.1.100,SUCCESS,HTTPS,INFO